FACILITYID,OBJECTID,NAME,ADDRESS,CITY,STATE,ZIP,TYPE,COMBINED_ADDRESS
10000864,1160,USP LOMPOC,3901 KLEIN BLVD,LOMPOC,CA,93436,FEDERAL,"3901 KLEIN BLVD LOMPOC, CA 93436"
10000871,1622,MCC SAN DIEGO,808 UNION STREET,SAN DIEGO,CA,92101,FEDERAL,"808 UNION STREET SAN DIEGO, CA 92101"
10000840,1691,PRADO CONSERVATION CAMP #28,14467 CENTRAL AVENUE,CHINO,CA,91710,STATE,"14467 CENTRAL AVENUE CHINO, CA 91710"
10000874,1723,WESTERN REGION DETENTION FACILITY,220 WEST C STREET,SAN DIEGO,CA,92101,FEDERAL,"220 WEST C STREET SAN DIEGO, CA 92101"
10005361,2743,EL CENTRO SERVICE PROCESSING CENTER,1115 NORTH IMPERIAL AVENUE,EL CENTRO,CA,92243,FEDERAL,"1115 NORTH IMPERIAL AVENUE EL CENTRO, CA 92243"
10002330,2905,FCI DUBLIN CAMP,5701 8TH STREET,DUBLIN,CA,94568,FEDERAL,"5701 8TH STREET DUBLIN, CA 94568"
10000863,2930,FCI LOMPOC,3600 GUARD RD,LOMPOC,CA,93436,FEDERAL,"3600 GUARD RD LOMPOC, CA 93436"
10000833,2934,FCI VICTORVILLE MEDIUM I CAMP,13777 AIR EXPRESSWAY BOULEVARD,VICTORVILLE,CA,92394,FEDERAL,"13777 AIR EXPRESSWAY BOULEVARD VICTORVILLE, CA 92394"
10000831,2937,FCI VICTORVILLE MEDIUM II,13777 AIR EXPRESSWAY BOULEVARD,VICTORVILLE,CA,92394,FEDERAL,"13777 AIR EXPRESSWAY BOULEVARD VICTORVILLE, CA 92394"
10006180,2943,FCI MENDOTA CAMP,33500 WEST CALIFORNIA AVENUE,MENDOTA,CA,93640,FEDERAL,"33500 WEST CALIFORNIA AVENUE MENDOTA, CA 93640"
10000887,2951,FCI TERMINAL ISLAND,1299 SEASIDE AVENUE,SAN PEDRO,CA,90731,FEDERAL,"1299 SEASIDE AVENUE SAN PEDRO, CA 90731"
10000867,2952,USP LOMPOC CAMP,3901 KLEIN BLVD,LOMPOC,CA,93436,FEDERAL,"3901 KLEIN BLVD LOMPOC, CA 93436"
10000806,2957,USP ATWATER,1 FEDERAL WAY,ATWATER,CA,95301,FEDERAL,"1 FEDERAL WAY ATWATER, CA 95301"
10000892,2962,MDC LOS ANGELES,535 NORTH ALAMEDA STREET,LOS ANGELES,CA,90012,FEDERAL,"535 NORTH ALAMEDA STREET LOS ANGELES, CA 90012"
10006299,2964,USP LOMPOC NORTH CAMP,3901 KLEIN BLVD,LOMPOC,CA,93436,FEDERAL,"3901 KLEIN BLVD LOMPOC, CA 93436"
10005303,2987,FCI DUBLIN,5701 8TH STREET,DUBLIN,CA,94568,FEDERAL,"5701 8TH STREET DUBLIN, CA 94568"
10006194,3030,USP ATWATER CAMP,1 FEDERAL WAY,ATWATER,CA,95301,FEDERAL,"1 FEDERAL WAY ATWATER, CA 95301"
10000830,3034,USP VICTORVILLE,13777 AIR EXPRESSWAY BOULEVARD,VICTORVILLE,CA,92394,FEDERAL,"13777 AIR EXPRESSWAY BOULEVARD VICTORVILLE, CA 92394"
