object_id,mean_ozone,matched_fips,dist_to_tract_m
1,56.186,06093000400,6369
2,50.834,06093000500,6395
3,45.648,06015000104,644
4,45.269,06015000101,277
5,42.223,06015000102,1527
6,54.53,06093000702,6742
7,57.192499999999995,06093000902,11583
8,42.0745,06015000203,3502
9,56.298,06049000100,4522
10,55.561,06093001000,2662
11,39.4965,06023010400,8202
12,42.679500000000004,06023940000,14464
13,39.353,06023010504,1957
14,43.335,06023010502,3009
15,43.688,06023001101,1112
16,43.688,06023001101,500
17,57.584,06089012701,1300
18,43.645,06023001000,835
19,39.006,06023001001,427
20,60.3065,06089012702,11881
21,43.888,06023000500,651
22,43.872,06023000100,741
23,56.303,06105000101,8287
24,43.898,06023000700,60
25,38.852000000000004,06023000700,254
26,38.852000000000004,06023000700,499
27,44.347,06023010600,4943
28,62.164,06089012604,11905
29,58.7855,06089011802,2871
30,61.051,06089010703,1846
31,61.051,06089010703,776
32,58.79600000000001,06089011801,1731
33,58.79600000000001,06089011801,2037
34,43.417,06023010901,1578
35,43.486,06023010800,7881
36,60.871,06089010100,474
37,43.448,06023011000,1586
38,59.998,06089010602,611
39,62.251,06089011900,3494
40,57.33200000000001,06089010900,1163
41,61.581,06089011300,911
42,57.7295,06089011401,1077
43,39.3935,06023011000,2804
44,58.31933333333333,06089010601,1540
45,57.3685,06089010400,820
46,57.4585,06089011002,1274
47,57.615500000000004,06089011100,318
48,58.603,06089011502,1024
49,58.812999999999995,06089012102,857
50,60.06,06089012302,3237
51,66.741,06035040304,1964
52,58.8175,06089012000,4020
53,59.933499999999995,06089012200,4052
54,61.4015,06103000201,4896
55,59.1655,06103000202,2749
56,40.0555,06023011100,17636
57,59.605,06035040500,3139
58,64.0715,06063000502,8428
59,64.0715,06063000502,7693
60,59.897,06063000502,17550
61,60.597,06103000400,4814
62,62.8215,06103000701,1315
63,61.469500000000004,06103001102,1436
64,61.469500000000004,06103001102,778
65,61.469500000000004,06103001102,1093
66,61.822,06007001600,1680
67,61.138,06007001703,2139
68,61.138,06007001703,2181
69,65.349,06063000300,15293
70,60.802,06007001900,1344
71,60.445,06007000201,802
72,60.283,06021010101,1831
73,60.802,06007001900,1361
74,60.188,06007000300,574
75,60.642,06007000103,294
76,60.188,06007000300,46
77,59.918,06007002000,442
78,60.6,06007000800,810
79,59.918,06007002000,865
80,62.70399999999999,06007000403,138
81,61.032,06007000904,724
82,62.70399999999999,06007000403,499
83,62.9385,06007000904,1253
84,61.565,06021010501,3152
85,62.947500000000005,06007000903,629
86,60.2555,06021010102,882
87,59.68,06007001100,721
88,58.541,06021010401,9859
