object_id,mean_ozone,matched_fips,dist_to_tract_m
1,53.788,31079001000,1907
2,58.8495,28045030303,4528
3,61.965,19083480600,2209
4,66.199,32003005200,804
5,65.28,12057012002,1699
7,59.713499999999996,21107970302,2352
8,65.1105,48201241502,1401
9,62.991,48373210203,2496
10,67.781,06025011903,2172
11,57.462500000000006,13155950202,4089
12,59.283,22049970400,4175
13,58.15899999999999,16051960302,1214
14,65.0115,48339693904,246
15,60.104,27067780500,2808
16,59.884,29165030308,2789
17,60.3795,48255970200,6474
18,60.3795,48255970200,6415
19,60.613,40071001200,11015
20,65.196,21117065502,1439
21,65.953,21117067000,229
22,59.941,47093005201,1404
23,55.930499999999995,12086981300,925
24,58.916,04012940200,452
25,58.611,48479001710,17928
26,60.193,22055000100,243
27,62.549,12069030806,1265
28,59.477,56021000700,161
29,57.22,48479001105,1427
30,58.084,21125971001,2451
31,58.088,21125970600,902
32,59.015,46081966602,3674
33,58.6255,20103070200,947
34,56.907,42119090700,1186
35,60.1885,45063021029,1209
36,61.693,48293970600,11668
37,56.0975,31111960500,697
38,59.400499999999994,19113002200,614
39,65.652,40083601000,914
40,62.057500000000005,22125980000,1206
41,61.9275,48303000700,668
42,57.25,28089030700,1135
43,62.132,39099813900,1449
44,61.702,18097355600,499
45,61.3905,18097354201,734
46,55.248000000000005,12085001000,246
47,53.497,31145963200,1055
48,63.9315,48309001800,1875
49,72.247,06029001600,841
50,61.8465,18103952900,2151
51,56.252,12086003706,86
52,56.35,12086003601,378
53,63.0715,48329010200,1426
54,56.5075,28001000101,3565
55,78.0295,06071009129,3109
56,60.6305,37001021000,1079
57,57.1115,22079980000,328
58,54.639,36003950600,2860
59,56.5645,22003950400,8895
61,58.565,12003040201,16703
62,59.121,12003040101,3529
63,55.1035,01003010500,1456
64,64.6485,48027021501,2011
65,52.295,33007950600,3796
66,59.312,48253020200,1852
67,64.417,21015070504,1649
68,59.216499999999996,21017030202,1650
69,63.721,36047010100,310
70,56.053,48047950200,3081
71,52.502,36007012800,517
72,52.502,36007012800,517
73,56.922,12011042502,252
74,56.265,12011010405,593
75,58.168,55009001801,1510
76,59.8645,36037950501,1365
77,58.422,38015010100,163
78,61.8335,48053960301,3562
79,62.592999999999996,39017000300,740
80,58.435,26025000600,1003
81,71.134,06029006500,6870
82,61.535,42021012600,2125
83,66.095,21037050100,366
84,59.5005,51033030100,3573
85,55.3955,30013002301,3165
86,57.836,31025965600,2670
87,67.14500000000001,04021000903,427
88,58.742,22059970200,1588
89,67.672,20017960600,8734
90,68.9915,35005000600,1677
91,51.788,26033970300,887
92,53.122,50007001100,1256
93,57.057,21047200100,559
94,64.305,35006974402,2111
95,61.85,40119011302,3376
96,62.55199999999999,18019050100,693
97,62.55199999999999,18019050100,693
98,56.393,19039960100,41
99,59.58433333333333,18021040200,1651
100,55.924,42035030500,1766
101,55.275999999999996,36019100901,1660
102,61.033500000000004,18023950800,826
103,58.487,48355005900,7704
104,57.846,12021010604,500
105,59.707,39171950500,6778
106,55.9095,27035951200,1287
107,70.593,49035111602,755
108,59.295500000000004,06073005601,302
110,66.487,04027011407,4918
111,63.739,12115000102,259
112,55.88,31153010619,955
113,60.018,55111000302,1449
114,64.13,19163010700,646
115,56.087,05131000300,347
116,57.9105,39147963700,1684
117,59.73950000000001,27141030503,1490
118,58.6055,19167070602,1584
119,58.5745,54039013002,2884
120,57.291,22039950302,9068
121,61.435,48163950200,13711
122,57.4765,54081000300,4131
