FACILITYID,mean_ozone,matched_fips,dist_to_tract_m
10004639,56.798,12011030804,441
10000450,57.301,12127083207,5776
10006936,42.443,06045990100,3812747
10004024,57.685,54057010100,2672
10004650,56.332,12086009325,601
10006939,61.584500000000006,18163002100,121
10006303,56.96,51147930201,2100
10001082,58.904,19105070300,1046
10001091,60.354,19103000301,966
10000356,55.6225,12059960401,1349
10003943,60.178,13275960900,3544
10002237,62.427,08067940300,3633
10001866,56.759,19153000701,465
10000630,65.4125,04019980400,79
10001077,57.3665,19187000900,1796
10001087,59.438,19153010705,7467
10001100,56.0015,19111491100,1724
10006663,55.9885,19015020600,11622
10006658,57.2145,19145490400,68
10006541,57.332,19155030700,833
10001089,58.301,19153004702,453
10005639,58.3305,19013000700,375
10001856,57.18,19061000100,812
10006643,56.337,42053530100,5748
10004286,61.965,19083480600,3496
10003486,62.504999999999995,49021110501,391
10003587,63.274,40055967100,19346
10003472,63.749,49049002802,602
10005043,56.2755,21025920302,2869
10000360,55.941500000000005,12131950202,3046
10003891,61.973,13115000500,180
10004517,58.72,13109970200,1898
10006331,59.009,12029970101,3463
10004522,60.093,13081010400,2647
10000295,63.997,13089023439,1214
10003878,61.814,13313000400,531
10003461,70.593,49035111602,698
10000917,73.572,24510100300,83
10003453,65.164,49057200300,1389
10000023,57.232,54021980000,0
10000312,58.391,13051010501,962
10002115,67.945,13247060201,1551
10003911,63.695,13067030911,780
10006510,59.040000000000006,06073010015,3739
10004525,61.165,13273120300,6077
10001550,73.572,24510100300,144
10005208,54.674,13299950300,3399
10006354,57.6315,24045010101,2732
10001636,63.23950000000001,29133950200,2503
10001614,55.9395,29163460400,3788
10001552,64.009,24510100300,209
10003900,61.779,13139000600,1397
10006353,62.8305,24003740400,320
10002364,62.8065,24027601203,1404
10004035,64.009,24510100300,37
10001569,59.139,24039980400,1731
10004491,57.9755,13009970501,687
10000918,64.009,24510100300,145
10001543,55.412,24001001300,1538
10001548,60.035,24043011000,400
10000919,62.8305,24003740400,649
10002146,62.068,13037950100,5004
10002134,64.45,13021013603,2379
10001559,62.8305,24003740400,328
10001542,55.412,24001001300,975
10004740,55.749,24023000400,4890
10004027,63.9565,24005492600,711
10000060,58.4975,05065960300,3303
10004028,60.9815,42055012502,3791
10005832,70.942,24003751500,1450
10000417,61.292,12125960100,4644
10000915,60.035,24043011000,1341
10000474,67.441,12105012407,1645
10000445,57.375,12127083206,5776
10006548,61.503,24013510000,3091
10006329,57.301,12127083207,6180
10000533,56.7565,12011110341,384
10000492,59.3005,12049970202,6939
10002176,61.63,12105015702,6236
10000409,57.147999999999996,12067960100,4861
10006208,61.292,12125960100,5235
10001555,74.279,24510260404,196
10002152,59.206,12033004000,2043
10001574,57.56333333333333,51075400300,3570
10002223,68.3065,08041004009,1647
10001448,60.486,12001001902,907
10000509,54.99,12111382126,6264
10001437,56.8845,12073000600,708
10004586,59.123999999999995,12083001401,521
10004556,60.704,12113010809,5767
10000433,59.009,12029970101,2816
10001176,56.152,16043970300,2438
10006168,59.799,12099008001,3156
10002225,61.11,08043980300,1143
10004585,58.8945,12083000304,2023
10004239,57.076,28103950300,305
10000413,54.036,12045960301,5724
10001042,58.675,20155000700,1932
10001936,56.594,30093000100,262
10004580,61.292,12125960100,5755
10006297,56.8515,12011030500,1467
10001867,57.202,19155030900,799
10001061,61.822,18095011600,446
10001166,54.412,23005003000,988
10000438,58.8945,12083000304,2225
10006511,54.948,13049010102,6391
10000187,62.784,48001950402,1920
10002941,54.493,48215023512,2095
10006328,55.930499999999995,12086981300,719
10001068,59.984,18063210702,937
10000186,62.784,48001950402,866
10000205,58.695,48373210203,1871
10004903,62.096500000000006,18017951300,2221
10000285,64.72,13121006801,0
20000140,63.807,08001008542,1568
10004256,58.269,28035000500,305
10004895,60.894,18113972600,7248
20000201,68.174,13035150300,5441
10004822,58.8515,20061000500,1121
10003759,49.004,53009940000,2217419
10000099,57.064,45049920401,5922
10001072,61.4255,18153050502,2407
10006203,49.004,53009940000,2217379
10001051,60.8305,18091042602,55
10006382,60.649,18097321001,361
10003203,58.404,36071011500,3596
10001748,61.01,37077970704,1097
10000292,69.526,13089023802,786
10006176,52.295,33007950600,4009
10000123,42.443,06045990100,3799676
10006333,60.486,12001001902,1808
10004168,61.01,37077970704,2275
10001760,61.01,37077970704,2510
10000314,56.4065,13051010701,3160
10002106,60.88849999999999,13135050615,1004
10006153,61.338,13073030506,1210
10002129,58.347,13009970802,2566
10003618,60.7655,05119980200,357
10003973,65.418,04021002002,1156
10000580,67.7635,08043980200,58
10001421,66.262,13207050200,1447
10001980,62.504000000000005,48309003601,2645
10006661,62.351,19063070200,4369
10000378,57.0575,12065250103,1408
10004496,59.695,13107970400,5598
10000297,58.039500000000004,13141480400,7353
10000323,62.299,13177020300,3623
10005199,54.5235,13183970102,5712
10000284,59.2825,13055010501,1427
10000303,56.2355,13167960202,3002
10000565,59.387,08063962100,620
10000496,55.713499999999996,12093910101,3919
10002137,58.167,13193000300,2009
10002108,62.4855,13223120301,1915
10000304,62.013,13215010606,30
10000310,55.5135,13267950202,3312
10001975,61.7285,48227950802,1653
10000283,60.546,13295020601,1968
10000601,71.1225,04013610301,2808
10000258,61.08,32007951500,37997
10000579,67.7635,08043980200,213
10002126,59.805,13303950500,10111
10004453,62.834,13147960400,3423
10000582,61.319,08043980200,616
10006542,59.314,19113002900,1212
10000318,58.536,13315960100,2556
20000200,68.174,13035150300,5211
10003952,59.232,04017940013,12599
10001391,58.979,25009211401,1529
10005201,58.711,13287970300,8319
10004724,65.1605,17163502401,782
10000639,63.1105,17089852204,494
10003386,60.599000000000004,39029951402,1479
10002142,59.704,13309780200,3446
10004514,58.61,13109970100,5021
10001040,57.772999999999996,20053086600,10512
10000925,56.0165,51550021104,1613
10001593,58.744,51183870202,118
10002088,57.519,26117971000,5632
10000226,61.765,48021950506,2043
10002095,59.068,25025981100,524
10001362,56.968,26057000400,21
10000277,58.361999999999995,26075005800,256
10000272,58.379999999999995,26067982200,431
10001389,59.624,26023951300,1562
10000694,60.869,17199021400,5009
10001386,58.361999999999995,26075005800,0
10003824,66.947,26121002000,1369
10001341,58.3445,26095960100,10594
10004594,62.367,12119910900,389
10004647,56.252,12086003706,20
10006385,56.917500000000004,22021000300,9131
10002872,71.2,48201100000,216
10005771,59.751000000000005,26041970800,2146
10000274,61.495,26093743700,2167
10002701,57.064,45049920401,6041
10001383,57.967,26161422900,162
10001457,57.801,12103020700,599
10003076,59.495000000000005,42107000902,2707
10005124,63.935,48141003404,1594
10000264,57.323499999999996,26003000200,18748
10004592,62.367,12119910900,539
10004593,58.650499999999994,12119980100,0
10003978,67.182,04021000904,1960
10006179,65.2975,06019008303,4454
10001214,55.085499999999996,01051030902,2437
10001223,56.841499999999996,01011952202,2297
10000149,57.695,01053970400,5632
10001957,57.695,01053970400,2789
10000132,59.2385,01073014107,6734
10000140,55.085499999999996,01051030902,2660
10000142,58.221,01131034800,5451
10000278,56.333,26075005800,454
10001226,58.236,01031010500,5318
10004622,64.086,12081000805,1384
10003698,59.3685,01103000600,753
10000139,59.288,01051030902,2674
10000129,58.544,01083020805,1812
10000864,45.540000000000006,06083980400,1504
10006334,59.4435,12105015200,64
10001191,42.443,06045990100,3794311
10003721,59.909,01123962100,5386
10001209,58.316,01121011200,5513
10003710,58.920500000000004,01115040507,1185
10003728,55.188,01051030901,3102
10006241,55.727,01051030801,3277
10000146,58.685,01003010903,1116
10000143,56.0595,01005950200,4887
10000150,59.507,01097003901,985
10001222,59.323,01101005501,2500
10000124,42.443,06045990100,3794237
